4E,\N,DOH,5965,NIB,7214,,0,PAG
4E,\N,DOH,5965,TCT,7215,,0,PAG
4E,\N,DOH,7214,MCG,5965,,0,PAG
4E,\N,DOH,7215,TLJ,3423,,0,PAG
4E,\N,DOH,3423,MCG,5965,,0,PAG
4G,2524,DOH,8428,VKO,2988,,0,YK2
4G,2524,DOH,6151,VKO,2988,,0,73G
4G,2524,DOH,4364,TJM,4111,,0,TU5
4G,2524,DOH,4364,UFA,2992,,0,TU5
4G,2524,DOH,4364,VKO,2988,,0,73G TU5
4G,2524,DOH,6143,OVS,6140,,0,YK4
4G,2524,DOH,6143,VKO,2988,,0,73G
4G,2524,DOH,6140,NYM,6143,,0,YK4
4G,2524,DOH,6140,SVX,2975,,0,YK4
4G,2524,DOH,6140,VKO,2988,,0,YK2
4G,2524,DOH,2975,OVS,6140,,0,YK4
4G,2524,DOH,4111,NUX,4364,,0,TU5
4G,2524,DOH,4368,VKO,2988,,0,YK2
4G,2524,DOH,2992,NUX,4364,,0,TU5
4G,2524,DOH,2988,EYK,8428,,0,YK2
4G,2524,DOH,2988,NCU,6151,,0,73G
4G,2524,DOH,2988,NUX,4364,,0,73G TU5
4G,2524,DOH,2988,NYM,6143,,0,73G
4G,2524,DOH,2988,OVS,6140,,0,YK2
4G,2524,DOH,2988,UCT,4368,,0,YK2
4H,8463,DOH,3885,DAC,3076,,0,AT7
4H,8463,DOH,6176,DAC,3076,,0,DH8
4H,8463,DOH,3043,CGP,3069,,0,AT7
4H,8463,DOH,3043,DAC,3076,,0,AT7
4H,8463,DOH,3069,CCU,3043,,0,AT7
4H,8463,DOH,3069,DAC,3076,,0,DH8
4H,8463,DOH,3069,MCT,2194,,0,313
4H,8463,DOH,3068,DAC,3076,,0,DH8
4H,8463,DOH,3076,BKK,3885,,0,AT7
4H,8463,DOH,3076,BZL,6176,,0,DH8
4H,8463,DOH,3076,CCU,3043,,0,AT7
4H,8463,DOH,3076,CGP,3069,,0,DH8
4H,8463,DOH,3076,CXB,3068,,0,DH8
4H,8463,DOH,3076,DXB,2188,,0,313
4H,8463,DOH,3076,JED,2072,,0,313
4H,8463,DOH,3076,JSR,3071,,0,DH8
4H,8463,DOH,3076,KTM,3125,,0,AT7
4H,8463,DOH,3076,KUL,3304,,0,AT7
4H,8463,DOH,3076,MCT,2194,,0,313
4H,8463,DOH,3076,SPD,3073,,0,DH8
4H,8463,DOH,3076,ZYL,3074,,0,313
4H,8463,DOH,2188,DAC,3076,,0,313
4H,8463,DOH,2072,DAC,3076,,0,313
4H,8463,DOH,3071,DAC,3076,,0,DH8
4H,8463,DOH,3125,DAC,3076,,0,AT7
4H,8463,DOH,3304,DAC,3076,,0,AT7
4H,8463,DOH,2194,CGP,3069,,0,313
4H,8463,DOH,2194,DAC,3076,,0,313
4H,8463,DOH,3072,DAC,3076,,0,DH8
4H,8463,DOH,3073,DAC,3076,,0,DH8
4H,8463,DOH,3073,RJH,3072,,0,DH8
4H,8463,DOH,3074,DAC,3076,,0,313
4K,29,DOH,5498,YRB,128,,0,DHT
4K,29,DOH,128,YGZ,5498,,0,DHT
4M,3201,DOH,3670,EZE,3988,Y,0,777
4M,3201,DOH,3988,DFW,3670,Y,0,777
4M,3201,DOH,3988,JFK,3797,Y,0,777
4M,3201,DOH,3988,MIA,3576,,0,777 763
4M,3201,DOH,3988,PUJ,1760,,0,763
4M,3201,DOH,3797,EZE,3988,Y,0,777
4M,3201,DOH,3576,EZE,3988,,0,777 763
4M,3201,DOH,3576,PUJ,1760,,0,763
4M,3201,DOH,1760,EZE,3988,,0,763
4M,3201,DOH,1760,MIA,3576,,0,763
4N,341,DOH,49,YXY,176,,0,737
4N,341,DOH,87,YVR,156,,0,737
4N,341,DOH,87,YXY,176,,0,737
4N,341,DOH,100,YZF,196,,0,737
4N,341,DOH,156,YLW,87,,0,737
4N,341,DOH,156,YXY,176,,0,737
4N,341,DOH,176,YLW,87,,0,737
4N,341,DOH,176,YVR,156,,0,737
4N,341,DOH,176,YYC,178,,0,737
4N,341,DOH,176,YZF,196,,0,737
4N,341,DOH,178,YEG,49,,0,737
4N,341,DOH,196,YOW,100,,0,737
4N,341,DOH,196,YXY,176,,0,737
4O,17885,DOH,1783,MEX,1824,,0,320
4O,17885,DOH,1783,TLC,1850,,0,320
4O,17885,DOH,1785,MEX,1824,,0,SU9
4O,17885,DOH,2709,MEX,1824,,0,320
4O,17885,DOH,1794,MEX,1824,,0,320
4O,17885,DOH,1796,MEX,1824,,0,320
4O,17885,DOH,1789,MEX,1824,,0,320
4O,17885,DOH,1795,MEX,1824,,0,SU9
4O,17885,DOH,1793,MEX,1824,,0,320
4O,17885,DOH,1792,MEX,1824,,0,320
